Services / Resources,Contact Number
Eastfield Police Department Bldg. N room N112,972-860-4290 
"Police Emergency, Fire, EMS Services",Dial 911 
Criminal Investigations: ,972-860-7696
Police Department Fax:,972-860-7181
Pleasant Grove Campus Police:,972-860-4290 
Health Center:,972-860-7190
OSER:,972-860-7335
Accessibility Services:,972-860-8348
Counseling Services:,972-860-7371
Title IX Coordinator:,972-860-7358
Mental Health ABC Behavioral Health:,214-275-8500
"District Service Center 4343 IH-30 Dallas, TX 75150 ",972-860-4290
"District Office 1601 Botham Jean Blvd. Dallas, TX 75215",972-860-4290
"Mesquite Police Department 777 N. Galloway Avenue Mesquite, TX 75149",972-285-6336
"Dallas County Sheriff's Department 133 N. Riverfront Blvd Dallas, TX 75207",214-653-3450 
"Dallas Police Department 1400 Botham Jean Blvd. Dallas, TX 75215",214-671-3001
